Error code,Object type,Reason,Row #,Column #,Company Name,Street Address,Street Address 2,City,State,Postal Code,Phone Number,Website URL,About Us,Paid Preparer Firm Name,Annual Revenue,Total Money Raised,Total Expenses,Number of Employees,Company Domain Name,Type
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,3,15,A Family Affair Bridges Inc,6630 S LAND PARK DR,,SACRAMENTO,CA,"=""95831""",,,P80 (Services to Promote the Independence of Specific Populations),A Financials LLC,"$2,222,676",,"$1,543,254",42.0,http://www.afabridges.org/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,4,15,Choix Vocational Services,204 S Atlantic Blvd,,Los Angeles,CA,"=""90022""",,,B99 (Education N.E.C.),JBOTE & ASSOCIATES INC,"$1,662,664","$205,455","$1,542,336",0.0,https://www.choixvocational.org/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,17,15,Mount Carmel Health Ministries Inc,920 E Alhambra Rd,,Alhambra,CA,"=""91801""",626-289-1353,,X20 (Christian),CLIFTONLARSONALLEN LLP,"$1,439,865",,"$1,461,627",9.0,https://www.dnb.com/business-directory/company-profiles.mount_carmel_health_ministries_inc.536a51b2827d1ff1.html,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,47,15,Monterey County Housing Authority Development Corporation,123 RICO ST,,SALINAS,CA,"=""93907""",831-775-5000,,"S20 (Community, Neighborhood Development, Improvement)",NOVOGRADAC & COMPANY LLP,"$14,098,847","$205,761","$1,525,020",9.0,https://hdcmonterey.org/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,61,15,The Lighthouse Charitable Foundation Inc,26355 Via Canon,,Capistrano Beach,CA,"=""92624""",949-201-9300,,"L20 (Housing Development, Construction, Management)",GURSEY SCHNEIDER LLP,"$5,878,087",,"$1,499,131",8.0,http://www.lighthousecharitablefoundation.org/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,62,15,Center for Future Global Leaders,1180 ROOSEVELT,,IRVINE,CA,"=""92620""",949-654-8822,,"B28 (Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled)",JAMES Y LEE & CO AC,"$1,683,324",,"$1,369,797",16.0,https://www.cfgltoday.org/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,85,15,Scottish Rite Tower Development Corporation,1900 HUNTINGTON DR,,DUARTE,CA,"=""91010""",215-545-0460,,L22 (Senior Citizens' Housing/Retirement Communities),JTGOLDSTEIN,"$1,164,541",,"$1,606,156",7.0,https://www.humangood.org/scottish-rite-tower/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,86,15,E Victor Villa Inc,6249 Condon Ave,,Los Angeles,CA,"=""90056""",310-553-0060,,L22 (Senior Citizens' Housing/Retirement Communities),APRIO LLP,"$2,649",,"$1,431,882",1.0,https://abodecommunities.org/e-victor-villa/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,90,15,Sebastopol Area Housing Corporation,7777 Bodega Ave,,Sebastopol,CA,"=""95472""",707-823-8742,,L22 (Senior Citizens' Housing/Retirement Communities),ALLAN LIU CPA,"$1,585,339","$784,935","$1,496,015",0.0,https://ci.sebastopol.ca.us/our-community/housing-homelessness/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,91,15,St Nicholas Foundation Inc,9501 Balboa Blvd,,Northridge,CA,"=""91325""",818-886-4040,,L22 (Senior Citizens' Housing/Retirement Communities),PORTER & HUNT LLP,"$1,410,638",,"$1,384,596",0.0,https://www.charitynavigator.org/ein/237108388,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,92,15,Harrison Bryant Kearney Blvd Plaza Inc,720 W Hawes Ave,,Fresno,CA,"=""93706""",559-266-0143,,L21 (Public Housing),ROOS AND MCNABB CPAS A PROFESSIONAL CORPORATION,"$1,446,821",,"$1,611,860",4.0,"https://www.causeiq.com/organizations/harrison-bryant-kearney-blvd-plaza,237129472/",DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,101,15,Inyo Mono Association for the Handicapped Inc,371 S Warren St,,Bishop,CA,"=""93514""",760-873-8668,,P80 (Services to Promote the Independence of Specific Populations),Holland & Allred CPAs,"$1,582,182",,"$1,455,262",50.0,https://www.dnb.com/business-directory/company-profiles.the_inyo-mono_association_for_the_handicapped_inc.4465c4967fadd5f5b11cd52ad6756332.html,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,108,15,First Congregational Memorial Tower,PO Box 7070,,Pasadena,CA,"=""91109""",323-258-3512,,L21 (Public Housing),Leaf & Cole LLP,"$1,449,134",,"$1,489,705",5.0,https://falkenberg-gilliam.com/property/first-congregational-memorial-tower/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,120,15,Tassafaronga Housing Corporation,1619 Harrison St,,Oakland,CA,"=""94612""",510-587-2142,,"L50 (Housing Owners, Renters Organizations)",ARMANINO LLP,"$20,788",,"$1,461,579",,http://www.oakha.org/OHADepartments/Real-Estate-Development/Real-Estate-Developement-Projects/Pages/Tassafaronga-Village.aspx,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,157,15,K-Love & Air1 Foundation,5700 West Oaks Blvd,,Rocklin,CA,"=""95765""",916-251-1600,,B11 (Single Organization Support),KCOE ISOM LLP,"$1,329,742",,"$1,398,413",11.0,https://www.klove.com/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,159,15,The Electric Infrastructure Security,10767 NATIONAL PL,,LOS ANGELES,CA,"=""90034""",310-441-9635,,I02 (Management & Technical Assistance),ARMANINO LLP,"$1,219,867","$45,130","$1,618,200",3.0,https://energysafety.ca.gov/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,160,15,New Horizon Educational Foundation,1 Truman St,,Irvine,CA,"=""92620""",949-231-8956,,B11 (Single Organization Support),CLIFTONLARSONALLEN LLP,"$4,024,560",,"$1,431,445",0.0,https://www.horizoneducational.com/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,165,15,All Out Caring Inc,232 E FOOTHILL BLVD,,POMONA,CA,"=""91767""",909-491-3199,,P29 (Thrift Shops),Norman Moline CPA,"$1,913,953","$123,835","$1,623,052",0.0,https://actsthrift.org/about/,DOMESTIC - Small
INVALID_DOMAIN,Company,'N/A' is not a valid COMPANY domain. Update your import file with a valid COMPANY domain and try again.,167,15,Highlands Mutual Housing Corporation Inc,3321 Power Inn Rd Ste 320,,Sacramento,CA,"=""95826""",916-453-8400,,"L50 (Housing Owners, Renters Organizations)",LINDQUIST VON HUSEN & JOYCE LLP,"$1,052,971",,"$1,483,453",0.0,https://www.highlandsmutualhousing.com/,DOMESTIC - Small
